adm2_name,m_concentration_ratio_7d,m_days_ge_10_7d,m_days_ge_20_7d,m_days_ge_50_7d,m_max_24h_7d,m_max_72h_7d,m_mean_wet_intensity_7d,m_peak_rank_24h_7d,m_peak_rank_72h_7d,m_rain_j,m_rain_jm1,m_rain_jm2,m_rain_jm3,m_rain_jp1,m_rain_jp2,m_rain_jp3,m_sum_72h_ref,m_sum_7d,m_wet_days_7d,event
Roseaux,0.6626550157019295,3.1628064851363176,1.3872003599681648,0.9718063127501984,84.31691355679762,110.23746410582652,30.434568794802765,1.0,0.0,10.539614194599702,0.0,0.0,10.205104703773628,84.31691355679762,15.38093716390792,5.669260621580528,110.23746410582652,126.11183021466464,4.324629222125951,Grace_2021
Saint Jean du Sud,0.6747124422025009,3.649458367482545,1.235630529397682,1.0,115.78440919229864,155.02785914183903,42.493304557337694,1.0,0.3377210584878674,14.473051149037332,0.0,0.0,0.0,115.78440919229864,21.53820605910269,17.52812554757928,151.79566773981307,169.32379167627928,3.987179425970413,Grace_2021
Saint louis du Sud,0.683019899214482,2.6136417303793142,2.063853803214454,1.0,93.0685857745047,127.96930481201628,52.515297817979246,1.0,-1.0,34.90071940564682,0.0,0.0,0.0,93.0685857745047,0.0,8.678613293551859,127.96930481201628,136.64791910814404,2.6761417303793142,Grace_2021
Saint-Louis du Nord,0.4347335114461736,0.7804640330811498,0.074792587742818,0.0,11.852121686625756,22.83928239802479,8.121538755460426,0.4666363906725744,-1.0,4.783538193063571,6.203622537478684,0.0,4.279457517689772,11.852121686625756,0.0,0.0,16.635659879740032,27.11874015026196,3.509144158444636,Grace_2021
Saint-Marc,0.4847508754280876,2.248549530305961,1.6097300474889462,0.1305555555555555,30.11724772865928,53.037166356666354,23.15945487450135,0.7395419959833586,-1.0,22.9199186054777,0.0,0.0,8.986192232003567,30.11724772865928,0.0,0.0,53.037166356666354,62.02335812946058,2.781724927386539,Grace_2021
Saint-Michel de l'Attalaye,0.4253211111814029,2.586472623110944,0.222991113086025,0.0,18.17589565245476,32.521467426417686,14.748512257567938,-0.3664562591985216,-1.0,15.140167467062982,1.451768974463145,0.0,10.978188529476007,15.929530866347294,0.0,0.0,31.0696983923499,43.499656202040896,2.992722623110944,Grace_2021
Saint-Raphaël,0.5632749720946313,1.4618427593220715,0.2653070142757954,0.0,16.1782780412178,27.524886262091307,13.762443131045654,0.0076351339629353,-1.0,16.0951586695741,0.0,0.0,0.0,11.429727704410022,0.0,0.0,27.524886262091307,27.524886262091307,2.0,Grace_2021
Sainte Suzanne,0.6772576783358454,1.871965877857109,0.920218989699036,0.0,23.922030244887868,35.03895861658262,17.51947930829131,0.0,-1.0,23.922030244887868,0.0,0.0,0.0,11.116928044383142,0.0,0.0,35.03895861658262,35.03895861658262,2.0,Grace_2021
Saut d'Eau,0.5169539819982545,1.979513061326156,1.3418977588043228,0.0,30.02341133648101,53.341254719420085,15.280510213012178,0.0181464885842268,-1.0,29.857174586184264,5.816441541548743,5.098141883804999,0.0,17.667638739248726,0.0,0.0961566295663193,47.52481355684619,58.53555405975386,3.870762224426172,Grace_2021
Savanette,0.5565761526425679,2.0,1.0,0.0,29.21210972468058,50.576633771260575,16.093905846277874,0.0,-1.0,29.21210972468058,6.798307021458944,0.0,0.0,14.566216786702473,0.0,2.3138743241628013,43.7783260345459,52.89050833384197,3.333333333333333,Grace_2021
Tabarre,0.5145997478762048,2.124972626260008,1.1547066594743844,0.1239585081259907,29.81507280427373,49.96072718940166,18.0662842453441,0.0,-1.0,29.81507280427373,1.0057691975816594,7.133372124031025,0.0,19.139884952141426,0.0,0.0,48.95495764163852,57.09409960025122,3.18359595000576,Grace_2021
Terre Neuve,0.4104018691513273,1.5,0.1111111111111111,0.0,14.821303632524277,29.29900211758084,8.999311791525948,0.8333333333333334,-1.0,7.779453542497424,6.6982448498408,0.0,6.6982448498408,14.821303632524277,0.0,0.0,22.600757175021705,35.99724716610379,4.0,Grace_2021
Terrier Rouge,0.5739639909456562,2.0,1.08750872606121,0.0,21.80844745008845,37.809727930235525,18.90486396511776,0.0410845451545138,-1.0,21.13008745166116,0.0,0.0,0.0,16.679640461093793,0.0,0.0,37.809727930235525,37.809727930235525,2.0,Grace_2021
Thiotte,0.6388888955116272,2.0,0.75,0.0,27.935084342956543,45.128113746643066,19.33857107162476,0.0,-0.75,27.935084342956543,0.0,0.0,0.0,12.892380714416504,4.300647258758545,0.0,45.128113746643066,45.128113746643066,2.25,Grace_2021
Thomassique,0.4957248022158941,3.0,1.3333333333333337,0.0,29.54148546854655,57.95338757832845,19.001696904500328,0.0,-1.0,29.54148546854655,14.515698273976644,0.0,2.2746240297953286,13.896203994750977,0.0,0.0,43.43768946329753,60.22801208496094,3.166666666666667,Grace_2021
Thomazeau,0.6111875822146734,1.2916666666666667,0.8333333333333334,0.0,24.08063697814941,36.508667945861816,11.379812598228456,0.0,-1.0,24.08063697814941,4.393101831277211,3.1834778587023416,0.0,8.034929533799488,0.0,0.0,32.11556649208069,39.69214582443237,3.5,Grace_2021
Thomonde,0.4965956676780243,2.13253939500626,1.115520872987254,0.0833333333333333,34.05983212119174,58.82019559409475,16.594871760390276,0.0,-0.8675121672242965,34.05983212119174,8.09298739239431,0.0,8.092359527617496,16.318781089108224,1.4214384347901603,0.0,51.80005156345773,67.98539806581087,4.132487832775704,Grace_2021
Tiburon,0.6117292692965747,4.904154738414387,2.190013840707113,1.0,110.522655376062,146.8745636583083,35.33004506949077,1.0,0.2146829712939535,18.69601684400184,0.0,1.7354015893285526,18.15117917741873,110.522655376062,15.735611061574865,15.419925262897005,144.9542852488133,180.2607876548136,5.122296036104912,Grace_2021
Torbeck,0.7024227697246914,3.745946320318014,1.6374353338472791,1.0,109.69016292150675,145.0776538739104,42.2066394616581,1.0,-0.0126059239261693,13.88899065269802,0.0,0.0,0.0,109.69016292150675,21.49849923303032,10.25566062780086,145.0776538739104,155.3333136090116,3.745946320318014,Grace_2021
Trou du Nord,0.6387462269191442,1.5948145874510111,0.4272918497268532,0.0,21.6834537618103,34.068619796500656,17.034309898250328,0.1666666666666666,-1.0,19.197299841318763,0.0,0.0,0.0,14.871319954823818,0.0,0.0,34.068619796500656,34.068619796500656,2.0,Grace_2021
Vallières,0.6301692856872293,1.8333333333333333,1.012696789611619,0.0,27.848207812714747,44.21770452479607,22.108852262398035,0.0425511542602979,-1.0,27.213475498800666,0.0,0.0,0.0,17.0042289716091,0.0,0.0,44.21770452479607,44.21770452479607,2.0,Grace_2021
Verrettes,0.5226669567451815,2.10738994665465,1.8077070531133004,0.0,32.75122642019141,60.14408811795439,25.61253903124462,0.6666666666666666,-1.0,25.58440508842988,1.808455821368436,0.0,2.8613455016599096,32.75122642019141,0.0,0.0,58.33563209259048,63.00543356524488,2.531827940456426,Grace_2021
Île à Vache,0.7636363804340363,2.5,2.5,1.0,186.0365447998047,232.54568481445312,101.458984375,1.0,-1.0,46.50913619995117,0.0,0.0,0.0,186.0365447998047,0.0,11.110392570495604,232.54568481445312,243.65607452392575,2.5,Grace_2021
Abricots,0.508250506313089,0.245172029270848,0.0,0.0,9.320577886746356,18.42135289104269,9.019796083374224,-0.0598463072217895,-2.0,9.287396055955965,8.90685620849329,0.2271004749356783,0.0,0.0,0.0,0.0,9.287396055955965,18.42135289104269,2.042468646832117,Inondations_f_v_2022
Acul du Nord,0.3347243860685691,2.110640849378707,0.165552948624029,0.0,13.465023653288831,32.26618352506938,10.87946664299668,-0.027349885853817,-1.0102133097545112,13.437654048774943,11.63974459864022,1.1456728195397632,0.0,6.880503124742152,11.006602919414156,0.0,31.32476025937333,44.1101773216642,3.832535894051753,Inondations_f_v_2022
Anse Rouge,0.7144313328795964,0.0,0.0,0.0,3.85371502770318,5.491277345021565,3.529398621453179,-0.3888888888888889,-2.111111111111111,3.790743329789904,1.7005340417226156,0.0,0.0,0.0,0.0,0.0,3.790743329789904,5.491277345021565,1.3111111111111111,Inondations_f_v_2022
Anse d'Hainault,0.4444093861288131,0.708062625390002,0.0,0.0,8.684689541424877,14.729009200113545,6.678096313782078,-0.482039000680121,-2.160679666893373,8.684689541424877,6.0443193187707,0.0,0.0,0.0,4.034424613228564,0.0,12.719114120004166,18.763433492000942,2.231404382167295,Inondations_f_v_2022
Anse à Galets,0.3456150858440774,0.0,0.0,0.0,6.408473206891171,14.895803217477882,5.4111482098785695,-1.156948211364125,-1.656948211364125,5.559452292222782,6.212404554420265,0.0,0.0,3.1239463697939733,0.9799769227307258,0.0,9.66337565676578,15.875780164050466,2.3495190967952566,Inondations_f_v_2022
Anse-à-Foleur,0.3639867948872173,0.9698400715459624,0.0,0.0,10.078949937261765,21.618909676987823,8.362235452128509,-0.2409400928095139,-0.4680324538190787,9.714431166046344,7.413017198245778,0.0,0.0,2.745231480047048,8.507790901320064,0.0,20.967453684682813,28.3804711167371,3.392938976859798,Inondations_f_v_2022
Anse-à-Pître,0.8239519968628883,0.125,0.0,0.0,6.157653391361237,6.915409505367279,5.987659990787506,-1.25,-2.875,0.7577561140060425,6.157653391361237,0.0,0.0,0.0,0.0,0.0,0.7577561140060425,6.915409505367279,1.0,Inondations_f_v_2022
Anse-à-Veau,0.6658791475674568,0.5449293881558891,0.1666666666666666,0.0,15.524164713198788,20.93188002509785,11.526451017508656,0.3692117853372856,-1.5,7.888266836986557,6.37125320940487,0.0,0.0,0.0,0.0,7.533383687337239,7.888266836986557,21.792903610099483,1.8833137078362063,Inondations_f_v_2022
Aquin,0.4184498586431394,0.5909368658232813,0.0,0.0,9.845557322154354,20.614411501919022,7.484958918835785,-0.4437981526316292,-1.250903967459927,9.628437543255576,6.680425134813535,0.0,0.0,4.061377197372713,3.745488141865,0.0,17.435302910163905,24.11572803510353,2.8976290161062552,Inondations_f_v_2022
Arcahaie,0.719779565637868,0.0458553889131667,0.0,0.0,6.094326699196672,9.009859926641454,5.333144596871493,-0.9740520230087334,-2.410815921670681,2.928755342534121,6.081104645097981,0.0,0.0,0.0,0.0,0.0,2.928755342534121,9.009859926641454,1.5475174116626518,Inondations_f_v_2022
Arnaud,0.7438358883712773,1.308263709818757,0.0,0.0,11.25457967154171,16.827796970987634,10.936882645898438,-0.4257917722536051,-2.0,10.841695946827242,5.98610097644745,0.0,0.0,0.0,0.0,0.0,10.841695946827242,16.827796970987634,1.5433198346884536,Inondations_f_v_2022
Arniquet,0.3921245859577811,1.5129074024920344,0.0,0.0,9.17798941054042,17.705904203109,8.8529521015545,-0.7306388962619487,-2.243546298753983,9.17798941054042,8.527914860002838,0.0,0.0,0.0,0.0,0.0,9.17798941054042,17.705904203109,1.5129074024920344,Inondations_f_v_2022
Bahon,0.881581852281696,0.6236218466341257,0.6236218466341257,0.0,19.20886480582873,19.22335328153766,12.391231730223062,0.8735615821043057,-1.1264384178956943,0.0150476151604572,5.573598837315783,0.0,0.0,0.0,17.680816240032886,0.0,17.69586385519334,23.269462509810737,1.6263178888360543,Inondations_f_v_2022
Baie de Henne,0.6690879532388545,0.0,0.0,0.0,6.202313735883264,9.298396121145723,5.246941734281736,-1.1408680886578892,-2.3175585784198347,3.096082651071243,6.202313735883264,0.0,0.0,0.0,0.0,0.0,3.096082651071243,9.298396121145723,1.612007377251221,Inondations_f_v_2022
Bainet,0.5379267788817927,1.3226204342319363,0.0,0.0,13.324764197252977,25.123165426084213,10.00326357620328,-0.9031750116482292,-1.5767907451873957,8.883347538673377,13.11044313160716,0.0,0.0,3.129375117422967,2.952368666488369,0.0,14.96509137253602,28.07553395803907,2.798866162854265,Inondations_f_v_2022
Baradères,0.6945162517955259,1.459992712404017,0.0,0.0,12.094957570369417,18.81800844509454,11.258993833061655,-0.2919160481395074,-1.8,11.907131052317444,6.290118513365728,0.0,0.0,0.0,1.3153215388751545,0.0,13.222452455268655,19.512570735236174,1.7551423157598518,Inondations_f_v_2022
Bas Limbé,0.2966243274491877,4.0,0.3491774019231198,0.0,19.20565757354199,48.396038470953656,14.165856404561993,0.0,-0.0256676678422738,19.20565757354199,14.362439960507029,2.730459148719027,0.0,12.654703842485194,16.472786324685636,0.0,48.3331488464963,65.42604614940328,4.595162296616922,Inondations_f_v_2022
Bassin Bleu,0.5382383867889352,0.0,0.0,0.0,6.875325422069072,11.573785999756508,5.6007644491388175,0.0,-0.8187217651916087,6.875325422069072,3.665243598381239,0.0,0.0,0.0,3.8848506636763247,0.0,10.76017616127079,14.425420093741286,2.5146115681417247,Inondations_f_v_2022
Beaumont,0.5687576313384063,1.5,0.0,0.0,12.444825178062322,22.848199113602146,11.463505492399994,0.0,-2.0,12.444825178062322,9.847209600685042,0.5561639275227265,0.0,0.0,0.0,0.0,12.444825178062322,22.848199113602146,2.0120345435996625,Inondations_f_v_2022
Belladère,0.5943027436733246,0.5666666666666668,0.1333333333333333,0.0,11.910895252227784,16.877577431996663,9.18587196667989,-0.4333333333333333,-1.8,5.148730309804281,8.709304316838582,0.0,0.0,0.0,6.360640525817871,0.0,11.509370867411295,20.21867520014445,2.2333333333333334,Inondations_f_v_2022
Belle Anse,0.5856175445752532,0.4285714285714285,0.0714285714285714,0.0,9.846569890369206,15.087563426224538,8.026721455643614,-0.6484846025917872,-1.9114384902274035,5.077067886443575,7.543470361793227,0.0,0.0,0.4521515710013253,0.9202206134796144,2.817478724888393,6.449440104984312,16.81038929401367,1.843165483542344,Inondations_f_v_2022
Bombardopolis,0.7929401033412461,0.0,0.0,0.0,4.035506516352727,4.035506516352727,4.035506516352727,-1.4141197933175078,-3.0,0.0,4.035506516352727,0.0,0.0,0.0,0.0,0.0,0.0,4.035506516352727,0.7929401033412461,Inondations_f_v_2022
Bonbon,0.750382255180212,1.2358831031296758,0.0,0.0,10.457163656184289,15.848258795654782,10.241145072652875,-0.2571251255341227,-2.0,10.402851565960855,5.120558711157459,0.3248487435240424,0.0,0.0,0.1193861993299906,0.0,10.52223777641174,15.967645006105665,1.5721429009878054,Inondations_f_v_2022
Borgne,0.5286248910115986,0.4948061330759365,0.0233010546536381,0.0,8.950375824873793,16.72186325818796,7.632694291987724,-0.0323221702574476,-0.90726376837453,8.904361791984105,5.342158173343309,0.0,0.0,1.3853854225381943,5.353154710225186,0.0,15.642901927488449,20.98506015007204,2.6089138240393743,Inondations_f_v_2022
Boucan Carré,0.5235780800382296,0.0,0.0,0.0,6.786926481458877,13.037587430742052,6.028708338737488,-0.6944444444444445,-1.8055555555555556,5.71517202589247,6.251687632666695,0.0,0.0,1.067191521326701,1.3719502422544692,0.0,8.154313855701023,14.40600135591295,2.333333333333333,Inondations_f_v_2022
Cabaret,0.5321824952871475,0.1117026882424516,0.0,0.0,6.252152889098816,13.116473409568288,5.161171351259291,-0.3301158087780601,-1.4788640507893756,5.192210018364335,4.996640150227469,0.0,0.0,2.927623060903845,0.4064166460823641,0.0,8.526249688648287,13.522890029018656,2.5769872933318503,Inondations_f_v_2022
Camp-Perrin,0.7005638375894563,1.6659613473917851,0.0,0.0,12.375705945239742,19.283361834482296,11.601889518608104,0.0,-2.0,12.375705945239742,6.907655507360393,0.0,0.0,0.0,0.0,0.0,12.375705945239742,19.283361834482296,1.6659613473917851,Inondations_f_v_2022
Cap-Haïtien,0.595043530303939,2.697106866228458,1.294258099748894,0.6163563830276281,67.83258886146253,78.42477676255616,33.985597272928736,1.1948795221951871,-0.0378332438600688,6.849838078050187,18.969294397512886,4.815538026929693,0.0,4.49836477452298,66.79862658569574,0.0,78.14682890431139,101.93166017349232,3.626926498512173,Inondations_f_v_2022
Capotille,0.6153775181446677,0.9155351115011447,0.2184202015815068,0.0,17.49084205687449,27.56496193450125,9.576488748516764,-1.0,-2.0,6.995241296858265,17.49084205687449,3.078878640827832,0.0,0.3362365944557319,0.6102550169400663,0.0,7.94173288288904,28.511453785942336,2.890583780523743,Inondations_f_v_2022
Caracol,0.7553452904397531,2.0,1.3875528717567782,1.0,70.99201584015924,70.99201584015924,38.29105029071284,2.0,0.0,0.0,20.11538508303173,2.7644327179285475,0.0,0.0,70.99201584015924,0.0,70.99201584015924,93.8718325333563,2.5547618446282057,Inondations_f_v_2022
Carice,0.7124740956252644,0.1111030368751954,0.0,0.0,7.788070135950537,11.512562922429543,6.687495999372114,-1.0,-2.258704553049152,3.724493055725751,7.788070135950537,0.0,0.0,0.0,0.0,0.0,3.724493055725751,11.512562922429543,1.741295446950848,Inondations_f_v_2022
Carrefour,0.3610884672037127,1.4869207413372392,0.0774000805189522,0.0,14.00561902492616,30.51638070750623,10.39689135139683,0.0772400438273037,-0.8451822717158931,11.009911029487396,10.326195771101194,0.0,0.0,7.154492860641023,6.732455382305233,2.7967581038982137,24.896859527177167,38.019812651607175,3.845199838962096,Inondations_f_v_2022
Cavaillon,0.5090653779328177,1.094941896813893,0.0,0.0,10.229611092412782,19.831546590948918,9.915773295474455,-0.2921196566614698,-2.0135675491687373,10.086835729970884,9.74471102123055,0.0,0.0,0.0,0.0,0.0,10.086835729970884,19.831546590948918,1.9728649016625253,Inondations_f_v_2022
Cayes-Jacmel,0.3982638430968074,1.4209139096288406,0.0,0.0,11.303441685855724,26.982647775486654,8.670225657866846,0.0,-1.0,11.303441685855724,8.647138153245205,0.0,0.0,7.032067678524202,6.275767082197959,0.0,24.61127733051944,33.2584147034852,3.5123000440002854,Inondations_f_v_2022
Cerca Carvajal,0.8783785700798035,0.0,0.0,0.0,7.293093919754028,8.67768661181132,6.780977964401245,-1.0,-2.6666666666666665,1.3845926523208618,7.293093919754028,0.0,0.0,0.0,0.0,0.0,1.3845926523208618,8.67768661181132,1.3333333333333333,Inondations_f_v_2022
Cerca La Source,0.9309853464365004,0.0,0.0,0.0,6.501769287245614,7.352484487351917,6.325782838321867,-1.0,-2.833333333333333,0.8507152001063029,6.501769287245614,0.0,0.0,0.0,0.0,0.0,0.8507152001063029,7.352484487351917,1.1666666666666667,Inondations_f_v_2022
Chambellan,0.5222720745260443,0.8461929332411902,0.0,0.0,10.046438502201845,18.935716623947457,9.377278776052565,0.0,-2.0,10.046438502201845,8.889278016938889,0.0,0.0,0.0,0.3808908634786687,0.0,10.427329365680514,19.316607366126973,2.063595690267812,Inondations_f_v_2022
Chamsolme,0.4045028989411425,0.0,0.0,0.0,8.831476377298479,16.342713767025323,7.27932379681609,0.0,0.0,8.831476377298479,5.495257244302934,0.0,0.0,0.0,7.511237898648542,0.0,16.342713767025323,21.83797137518195,3.0,Inondations_f_v_2022
Chantal,0.5908255287917306,1.1383319772890337,0.0,0.0,11.642370614390108,20.441828065487822,10.631916470017574,0.0,-2.0,11.642370614390108,8.799457516141404,0.0,0.0,0.0,0.0,0.0,11.642370614390108,20.441828065487822,1.9166666666666667,Inondations_f_v_2022
Chardonnières,0.2806548466321357,0.339607903187425,0.0,0.0,5.341332456382574,9.637001129614926,4.818500564807463,-1.481176290437725,-2.493725430145908,5.341332456382574,4.295668508302737,0.0,0.0,0.0,0.0,0.0,5.341332456382574,9.637001129614926,1.0125491397081834,Inondations_f_v_2022
